Year,Athlete,Country/State,Time,Notes,State
1966,Bobbi Gibb,United States,3:21:40,(unsanctioned)[4],MA
1967,Bobbi Gibb,United States,3:27:17,(unsanctioned) 2nd victory[4],CA
1968,Bobbi Gibb,United States,3:30:00,(unsanctioned) 3rd victory[4],CA
1969,Mae Berman,United States,3:22:46,(unsanctioned)[4],MA
1970,Mae Berman,United States,3:05:07,(unsanctioned) 2nd victory[4],MA
1971,Mae Berman,United States,3:08:30,(unsanctioned) 3rd victory[4],MA
1972,Nina Kuscsik,United States,3:10:26,first year that women were officially sanctioned,NY
1973,Jacqueline Hansen,United States,3:05:59,,CA
1974,Miki Gorman,United States,2:47:11,,CA
1975,Liane Winter,Germany West,2:42:24,,
1976,Kim Merritt,United States,2:47:10,,WI
1977,Miki Gorman,United States,2:48:33,2nd victory,CA
1978,Gayle Barron,United States,2:44:52,,GA
1979,Joan Benoit,United States,2:35:15,,ME
1980,Jacqueline Gareau,Canada,2:34:28,,
1981,Allison Roe,Zealand New,2:26:46,,
1982,Charlotte Teske,Germany West,2:29:33,,
1983,Joan Benoit,United States,2:22:43,2nd victory,ME
1984,Lorraine Moller,Zealand New,2:29:28,,
1985,Larsen Weidenbach,United States,2:34:06,,MI
1986,Ingrid Kristiansen,Norway,2:24:55,,
1987,Rosa Mota,Portugal,2:25:21,,
1988,Rosa Mota,Portugal,2:24:30,2nd victory,
1989,Ingrid Kristiansen,Norway,2:24:33,2nd victory,
1990,Rosa Mota,Portugal,2:25:24,3rd victory,
1991,Wanda Panfil,Poland,2:24:18,,
1992,Olga Markova,Russia,2:23:43,,
1993,Olga Markova,Russia,2:25:27,2nd victory,
1994,Uta Pippig,Germany,2:21:45,,
1995,Uta Pippig,Germany,2:25:11,2nd victory,
1996,Uta Pippig,Germany,2:27:12,3rd victory,
1997,Fatuma Roba,Ethiopia,2:26:23,,
1998,Fatuma Roba,Ethiopia,2:23:21,2nd victory,
1999,Fatuma Roba,Ethiopia,2:23:25,3rd victory,
2000,Catherine Ndereba,Kenya,2:26:11,,
2001,Catherine Ndereba,Kenya,2:23:53,2nd victory,
2002,Margaret Okayo,Kenya,2:20:43,,
2003,Svetlana Zakharova,Russia,2:25:19,,
2004,Catherine Ndereba,Kenya,2:24:27,3rd victory,
2005,Catherine Ndereba,Kenya,2:25:12,4th victory,
2006,Rita Jeptoo,Kenya,2:23:38,,
2007,Lidiya Grigoryeva,Russia,2:29:18,,
2008,Dire Tune,Ethiopia,2:25:25,2 seconds ahead of 2nd-place finisher,
2009,Salina Kosgei,Kenya,2:32:16,1 second ahead of 2nd-place finisher,
2010,Teyba Erkesso,Ethiopia,2:26:11,3 seconds ahead of 2nd-place finisher,
2011,Caroline Kilel,Kenya,2:22:36,2 seconds ahead of 2nd-place finisher,
2012,Sharon Cherop,Kenya,2:31:50,2 seconds ahead of 2nd-place finisher,
2013,Rita Jeptoo,Kenya,2:26:25,2nd victory,
2014,Rita Jeptoo,Kenya,2:18:57,"Course record, later disqualified[5]",
2014,Buzunesh Deba,Ethiopia,2:19:59,Current women's course record,
2015,Caroline Rotich,Kenya,2:24:55,,
2016,Atsede Baysa,Ethiopia,2:29:19,,
2017,Edna Kiplagat,Kenya,2:21:52,,
2018,Desi Linden,United States,2:39:54,First American win since 1985,MI
2019,Worknesh Degefa,Ethiopia,2:23:31,,
