Year,Athlete,Nationality,Time(h:m:s),Notes
1981,Dick Beardsley and Inge Simonson (Tie),United States and Norway,2:11:48,Course record
1982,Hugh Jones,United Kingdom,2:09:24,Course record
1983,Mike Gratton,United Kingdom,2:09:43,
1984,Charlie Spedding,United Kingdom,2:09:57,
1985,Steve Jones,United Kingdom,2:08:16,Course record
1986,Toshihiko Seko,Japan,2:10:02,
1987,Hiromi Taniguchi,Japan,2:09:50,
1988,Henrik Jørgensen,Denmark,2:10:20,
1989,Douglas Wakiihuri,Kenya,2:09:03,
1990,Allister Hutton,United Kingdom,2:10:10,
1991,Yakov Tolstikov,Soviet Union,2:09:17,
1992,António Pinto,Portugal,2:10:02,
1993,Eamonn Martin,United Kingdom,2:10:50,
1994,Dionicio Cerón,Mexico,2:08:53,
1995,Dionicio Cerón,Mexico,2:08:30,Second victory
1996,Dionicio Cerón,Mexico,2:10:00,Third victory
1997,António Pinto,Portugal,2:07:55,Course record; second victory
1998,Abel Antón,Spain,2:07:57,
1999,Abdelkader El Mouaziz,Morocco,2:07:57,
2000,António Pinto,Portugal,2:06:36,Course record; third victory
2001,Abdelkader El Mouaziz,Morocco,2:07:09,Second victory
2002,Khalid Khannouchi,United States,2:05:38,World marathon record
2003,Gezahegne Abera,Ethiopia,2:07:56,
2004,Evans Rutto,Kenya,2:06:18,
2005,Martin Lel,Kenya,2:07:35,
2006,Felix Limo,Kenya,2:06:39,
2007,Martin Lel,Kenya,2:07:41,Second victory
2008,Martin Lel,Kenya,2:05:15,Course record; third victory
2009,Samuel Wanjiru,Kenya,2:05:10,Course record
2010,Tsegaye Kebede,Ethiopia,2:05:19,
2011,Emmanuel Mutai,Kenya,2:04:40,Course record
2012,Wilson Kipsang,Kenya,2:04:44,
2013,Tsegaye Kebede,Ethiopia,2:06:04,Second victory
2014,Wilson Kipsang,Kenya,2:04:29,Course record; second victory
2015,Eliud Kipchoge,Kenya,2:04:42,
2016,Eliud Kipchoge,Kenya,2:03:05,Course record; second victory
2017,Daniel Wanjiru,Kenya,2:05:48,
2018,Eliud Kipchoge,Kenya,2:04:17,Third victory
2019,Eliud Kipchoge,Kenya,2:02:37,
